Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
0,False,2,23,-90,124,2.04045
0,False,2,24,-90,96,2.03122
0,False,2,25,-90,125,2.01822
0,False,2,26,-140,113,2.00608
0,False,2,27,-140,108,2.02006
0,False,2,28,-140,96,2.01051
0,False,2,29,-140,92,2.00701
0,False,2,30,-140,99,2.03871
0,False,2,31,-140,96,2.00909
0,False,2,32,-140,145,2.00808
0,False,2,33,-140,150,2.00604
0,True,2,1,0,71,2.03992
0,True,2,2,0,74,2.00582
0,True,2,3,0,84,2.01223
0,False,1,1,0,33,1.02529
0,False,1,2,0,28,1.02105
0,False,1,3,-90,31,1.04641
1,True,1,1,10,28,1.01303
1,True,1,2,-70,23,1.01417
1,True,1,3,-70,22,1.0286
1,True,1,4,-70,32,1.00372
1,True,1,5,-70,28,1.04089
1,True,1,6,-60,17,1.00324
1,True,1,7,-60,30,1.01777
1,False,2,1,-70,57,2.02536
1,False,2,2,-70,49,2.018
1,False,2,3,-70,32,2.0301
1,False,2,4,-70,64,2.01675
1,False,2,5,-70,58,2.05535
1,False,2,6,-60,57,2.01377
1,False,2,7,-60,59,2.03458
1,True,2,1,10,71,2.0035
1,True,2,2,10,71,2.01786
1,True,2,3,10,68,2.00409
1,True,2,4,10,69,2.00753
1,True,2,5,10,73,2.00568
1,True,2,6,10,66,2.00986
1,True,2,7,10,58,2.03854
1,True,2,8,10,64,2.01534
1,True,2,9,10,74,2.00842
1,True,2,10,10,70,2.01262
1,True,2,11,-20,77,2.02397
1,True,2,12,-20,89,2.02006
1,True,2,13,-20,77,2.00668
1,True,2,14,-20,65,2.01144
1,True,2,15,-20,60,2.01326
1,True,2,16,-20,45,2.04006
1,True,2,17,-100,70,2.0132
1,True,2,18,-20,82,2.00406
1,True,2,19,-20,83,2.0492
1,True,2,20,-10,85,2.0063
1,True,2,21,-20,103,2.00887
1,True,2,22,-20,117,2.01087
1,False,1,1,10,35,1.03598
1,False,1,2,10,35,1.02187
1,False,1,3,10,38,1.01999
1,False,1,4,10,35,1.00869
1,False,1,5,10,35,1.04745
1,False,1,6,10,22,1.02889
1,False,1,7,10,25,1.05561
1,False,1,8,10,39,1.01063
1,False,1,9,10,40,1.03417
1,False,1,10,-20,44,1.01643
1,False,1,11,-20,41,1.01537
1,False,1,12,-20,37,1.00297
1,False,1,13,-20,33,1.02155
1,False,1,14,-20,28,1.06592
1,False,1,15,-20,31,1.003
1,False,1,16,-100,38,1.00583
1,False,1,17,-100,36,1.02464
1,False,1,18,-20,44,1.00808
1,False,1,19,-20,47,1.01695
1,False,1,20,-20,44,1.01898
1,False,1,21,-20,53,1.01696
2,True,1,1,10,52,1.01859
2,True,1,2,40,44,1.02523
2,True,1,3,50,52,1.02185
2,True,1,4,50,55,1.02116
2,True,1,5,50,57,1.00358
2,True,1,6,50,51,1.02469
2,True,1,7,50,50,1.02086
2,True,1,8,60,61,1.01391
2,True,1,9,60,54,1.00622
2,True,1,10,60,49,1.00853
2,True,1,11,60,48,1.00802
2,True,1,12,60,51,1.005
2,True,1,13,60,53,1.01761
2,True,1,14,60,60,1.0058
2,True,1,15,60,57,1.01473
2,True,1,16,-20,60,1.00746
2,True,1,17,-20,60,1.01078
2,True,1,18,-20,60,1.01357
2,True,1,19,-20,64,1.01201
2,True,1,20,-20,55,1.02796
2,True,1,21,-10,48,1.01519
2,True,1,22,-10,62,1.04044
2,True,1,23,-10,55,1.01556
2,True,1,24,-10,68,1.02649
2,True,1,25,-10,52,1.02704
2,True,1,26,-10,62,1.02642
2,True,1,27,-10,76,1.04162
2,True,1,28,70,57,1.01594
2,True,1,29,70,73,1.00975
2,True,1,30,70,60,1.02111
2,True,1,31,70,64,1.02023
2,True,1,32,70,71,1.03214
2,True,1,33,70,67,1.02349
2,True,1,34,70,69,1.01554
2,True,1,35,70,71,1.00896
2,True,1,36,70,65,1.01638
2,True,1,37,70,67,1.01502
2,True,1,38,70,85,1.02418
2,True,1,39,70,71,1.00949
2,True,1,40,60,76,1.015
2,True,1,41,60,76,1.02671
2,True,1,42,60,83,1.01808
2,True,1,43,60,83,1.01846
2,True,1,44,60,74,1.01839
2,True,1,45,60,76,1.01586
2,True,1,46,60,66,1.03391
2,True,1,47,60,81,1.02516
2,True,1,48,60,80,1.01704
2,True,1,49,60,86,1.02947
2,True,1,50,150,89,1.02286
2,True,1,51,150,106,1.02838
2,True,1,52,150,93,1.02279
2,True,1,53,150,93,1.03441
2,True,1,54,150,96,1.02296
2,True,1,55,150,100,1.02282
2,True,1,56,150,95,1.03136
2,True,1,57,150,117,1.021
2,True,1,58,150,105,1.02664
2,True,1,59,150,106,1.02011
2,False,2,1,10,77,2.00518
2,False,2,2,40,110,2.00867
2,False,2,3,50,103,2.0106
2,False,2,4,50,114,2.00209
2,False,2,5,50,109,2.02099
2,False,2,6,50,88,2.0054
2,False,2,7,50,106,2.01226
2,False,2,8,60,97,2.01763
2,False,2,9,60,101,2.02926
2,False,2,10,60,76,2.01486
2,False,2,11,60,101,2.00846
2,False,2,12,60,117,2.00685
2,False,2,13,60,100,2.00915
2,False,2,14,60,117,2.00787
2,False,2,15,-20,117,2.00957
2,False,2,16,-20,118,2.00441
2,False,2,17,-20,119,2.00416
2,False,2,18,-20,122,2.0222
2,False,2,19,-20,122,2.01024
2,False,2,20,-100,107,2.01848
2,False,2,21,-10,143,2.00807
2,False,2,22,-10,123,2.00533
2,False,2,23,-10,119,2.00549
2,False,2,24,-10,136,2.03541
2,False,2,25,-10,124,2.01074
2,False,2,26,-10,124,2.01512
2,False,2,27,-10,132,2.0086
2,False,2,28,70,115,2.01194
2,False,2,29,70,129,2.01058
2,False,2,30,70,128,2.00793
2,False,2,31,70,140,2.01138
2,False,2,32,70,132,2.03641
2,False,2,33,70,124,2.01343
2,False,2,34,70,150,2.02031
2,False,2,35,70,142,2.02218
2,False,2,36,70,151,2.01858
2,False,2,37,70,153,2.01081
2,False,2,38,70,141,2.01615
2,False,2,39,60,162,2.02067
2,False,2,40,60,151,2.02747
2,False,2,41,60,173,2.01873
2,False,2,42,60,172,2.01459
2,False,2,43,60,171,2.0164
2,False,2,44,60,147,2.01463
2,False,2,45,60,162,2.01107
2,False,2,46,60,164,2.01424
2,False,2,47,60,164,2.01356
2,False,2,48,60,172,2.02609
2,False,2,49,60,183,2.01872
2,False,2,50,150,210,2.01145
2,False,2,51,150,189,2.03052
2,False,2,52,150,195,2.0269
2,False,2,53,150,185,2.02526
2,False,2,54,150,203,2.02726
2,False,2,55,150,216,2.02844
2,False,2,56,150,212,2.01777
2,False,2,57,150,233,2.02326
2,False,2,58,150,229,2.02415
2,True,2,1,10,80,2.0003
2,True,2,2,10,78,2.00203
2,True,2,3,10,87,2.03434
2,True,2,4,10,89,2.01496
2,True,2,5,90,93,2.01176
2,True,2,6,90,105,2.00274
2,True,2,7,0,101,2.02432
2,True,2,8,0,99,2.00539
2,True,2,9,0,96,2.02543
2,True,2,10,0,92,2.0138
2,True,2,11,0,105,2.03364
2,True,2,12,0,103,2.02267
2,True,2,13,0,107,2.00739
2,True,2,14,-10,154,2.01593
2,False,1,1,10,39,1.03042
2,False,1,2,10,46,1.01267
2,False,1,3,10,43,1.00452
2,False,1,4,10,44,1.01956
2,False,1,5,90,46,1.0366
2,False,1,6,0,51,1.02901
2,False,1,7,0,48,1.01875
2,False,1,8,0,47,1.00913
2,False,1,9,0,45,1.01142
2,False,1,10,0,46,1.02026
2,False,1,11,0,44,1.01388
2,False,1,12,0,52,1.01709
2,False,1,13,-10,51,1.00563
2,False,1,14,-90,88,1.01242
3,True,1,1,110,60,1.00655
3,True,1,2,110,70,1.00874
3,True,1,3,110,65,1.0054
3,True,1,4,110,67,1.01136
3,True,1,5,30,71,1.01289
3,True,1,6,40,69,1.01059
3,True,1,7,40,104,1.00955
3,True,1,8,50,96,1.00866
3,True,1,9,50,97,1.01507
3,True,1,10,50,94,1.01648
3,True,1,11,50,80,1.0116
3,False,2,1,110,134,2.00853
3,False,2,2,110,146,2.01509
3,False,2,3,110,148,2.00906
3,False,2,4,30,131,2.01709
3,False,2,5,30,130,2.0032
3,False,2,6,40,170,2.00263
3,False,2,7,40,191,2.00521
3,False,2,8,50,217,2.00576
3,False,2,9,50,201,2.01246
3,False,2,10,50,171,2.00439
3,True,2,1,30,113,2.02161
3,True,2,2,30,144,2.00658
3,False,1,1,30,74,1.01415
0,True,1,1,0,54,1.00643
0,True,1,2,0,63,1.00952
0,True,1,3,0,56,1.01025
0,True,1,4,0,50,1.00342
